"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2010","Andel av befolkningen (prosent) 2011","Andel av befolkningen (prosent) 2012","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Slovakia",2142,2498,2959,3460,3813,4169,4374,4334,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.08
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Slovenia",203,238,264,313,353,407,433,463,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Spania",2205,2577,3132,4061,4903,5625,6100,6419,0.05,0.05,0.06,0.08,0.10,0.11,0.12,0.12
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Storbritannia",12843,13395,13959,14504,14774,15123,15447,15321,0.26,0.27,0.28,0.29,0.29,0.29,0.30,0.29
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sveits",1204,1242,1318,1404,1430,1468,1516,1550,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tsjekkia",1464,1614,1780,1963,2180,2355,2466,2503,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tyrkia",15998,16430,16742,17004,17345,17608,17870,18172,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.35
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tyskland",22859,24394,25683,26398,26683,27165,27770,27593,0.47,0.50,0.52,0.52,0.52,0.53,0.53,0.52
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Ukraina",2604,2918,3343,3801,4210,4623,5088,5470,0.05,0.06,0.07,0.08,0.08,0.09,0.10,0.10
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Ungarn",2288,2599,2948,3350,3789,4192,4451,4555,0.05,0.05,0.06,0.07,0.07,0.08,0.09,0.09
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Vatikanstaten",0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Østerrike",997,1074,1123,1201,1259,1282,1365,1398,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Algerie",1497,1525,1569,1627,1637,1687,1752,1763,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Angola",408,434,464,493,504,536,568,564,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Benin",18,19,26,29,32,29,31,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Botswana",68,67,66,72,80,75,76,77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Det britiske territoriet i Indiahavet",0,3,0,0,0,0,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Burkina Faso",24,25,29,31,32,34,35,34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Burundi",1119,1192,1249,1305,1350,1392,1401,1446,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Djibouti",58,69,81,85,92,96,109,112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Egypt",806,883,933,1046,1118,1218,1258,1338,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Ekvatorial-Guinea",3,3,3,4,9,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Elfenbeinskysten",258,269,276,299,308,316,354,365,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Eritrea",5789,7728,9566,11758,14397,17134,20701,23618,0.12,0.16,0.19,0.23,0.28,0.33,0.40,0.45
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Etiopia",5156,5805,6405,7096,7807,8555,9617,10387,0.11,0.12,0.13,0.14,0.15,0.17,0.18,0.20
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Gabon",7,6,6,10,12,8,9,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Gambia",1409,1472,1525,1565,1606,1654,1728,1762,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Ghana",2034,2116,2165,2281,2424,2543,2665,2702,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guinea",154,175,203,233,278,296,357,375,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guinea-Bissau",25,27,35,39,54,62,69,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kamerun",472,534,574,602,632,671,716,747,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kapp Verde",496,505,514,519,518,521,519,524,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kenya",1275,1344,1420,1501,1636,1767,1983,2095,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Komorene",5,5,5,5,5,5,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kongo",2050,2183,2284,2369,2590,2753,2846,2950,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kongo-Brazzaville",151,164,189,218,251,277,294,303,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Lesotho",7,7,7,5,6,9,10,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Liberia",1075,1116,1163,1189,1220,1233,1183,1200,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Libya",302,329,434,539,569,602,737,792,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Madagaskar",198,212,210,219,226,229,230,241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Malawi",65,62,68,66,79,86,107,109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mali",38,40,40,45,48,53,59,61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
